,timestamp_utc,timestamp_utc_units,direct_normal_irradiance,direct_normal_irradiance_units,diffuse_radiation,diffuse_radiation_units
0,2023-01-01T00:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
1,2023-01-01T01:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
2,2023-01-01T02:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
3,2023-01-01T03:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
4,2023-01-01T04:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
5,2023-01-01T05:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
6,2023-01-01T06:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
7,2023-01-01T07:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
8,2023-01-01T08:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
9,2023-01-01T09:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
10,2023-01-01T10:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
11,2023-01-01T11:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
12,2023-01-01T12:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
13,2023-01-01T13:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
14,2023-01-01T14:00,iso8601,6.466765041476472,british_thermal_unit / foot ** 2 / hour,8.558953731365918,british_thermal_unit / foot ** 2 / hour
15,2023-01-01T15:00,iso8601,7.512859386421195,british_thermal_unit / foot ** 2 / hour,26.627856053138412,british_thermal_unit / foot ** 2 / hour
16,2023-01-01T16:00,iso8601,9.700147562214708,british_thermal_unit / foot ** 2 / hour,30.114837202954156,british_thermal_unit / foot ** 2 / hour
17,2023-01-01T17:00,iso8601,30.495235146570423,british_thermal_unit / foot ** 2 / hour,38.673790934320074,british_thermal_unit / foot ** 2 / hour
18,2023-01-01T18:00,iso8601,133.17098009432675,british_thermal_unit / foot ** 2 / hour,57.05969154243946,british_thermal_unit / foot ** 2 / hour
19,2023-01-01T19:00,iso8601,136.0873643287181,british_thermal_unit / foot ** 2 / hour,55.47470011070503,british_thermal_unit / foot ** 2 / hour
20,2023-01-01T20:00,iso8601,207.4119787567674,british_thermal_unit / foot ** 2 / hour,32.65082349372924,british_thermal_unit / foot ** 2 / hour
21,2023-01-01T21:00,iso8601,235.7833253848137,british_thermal_unit / foot ** 2 / hour,19.336895467160037,british_thermal_unit / foot ** 2 / hour
22,2023-01-01T22:00,iso8601,179.23083110052926,british_thermal_unit / foot ** 2 / hour,13.94792459926298,british_thermal_unit / foot ** 2 / hour
23,2023-01-01T23:00,iso8601,34.67961252634932,british_thermal_unit / foot ** 2 / hour,2.8529845771219726,british_thermal_unit / foot ** 2 / hour
24,2023-01-02T00:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
25,2023-01-02T01:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
26,2023-01-02T02:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
27,2023-01-02T03:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
28,2023-01-02T04:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
29,2023-01-02T05:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
30,2023-01-02T06:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
31,2023-01-02T07:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
32,2023-01-02T08:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
33,2023-01-02T09:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
34,2023-01-02T10:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
35,2023-01-02T11:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
36,2023-01-02T12:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
37,2023-01-02T13:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.6339965726937717,british_thermal_unit / foot ** 2 / hour
38,2023-01-02T14:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,7.924957158672147,british_thermal_unit / foot ** 2 / hour
39,2023-01-02T15:00,iso8601,13.91622477062829,british_thermal_unit / foot ** 2 / hour,17.75190403542561,british_thermal_unit / foot ** 2 / hour
40,2023-01-02T16:00,iso8601,6.72036367055398,british_thermal_unit / foot ** 2 / hour,35.8208063571981,british_thermal_unit / foot ** 2 / hour
41,2023-01-02T17:00,iso8601,15.532916030997407,british_thermal_unit / foot ** 2 / hour,38.673790934320074,british_thermal_unit / foot ** 2 / hour
42,2023-01-02T18:00,iso8601,2.9163842343913498,british_thermal_unit / foot ** 2 / hour,42.16077208413582,british_thermal_unit / foot ** 2 / hour
43,2023-01-02T19:00,iso8601,22.126480387012634,british_thermal_unit / foot ** 2 / hour,57.37668982878634,british_thermal_unit / foot ** 2 / hour
44,2023-01-02T20:00,iso8601,20.50978912664352,british_thermal_unit / foot ** 2 / hour,51.98771896088928,british_thermal_unit / foot ** 2 / hour
45,2023-01-02T21:00,iso8601,31.6681288060539,british_thermal_unit / foot ** 2 / hour,42.47777037048271,british_thermal_unit / foot ** 2 / hour
46,2023-01-02T22:00,iso8601,25.518362050924313,british_thermal_unit / foot ** 2 / hour,18.068902321772494,british_thermal_unit / foot ** 2 / hour
47,2023-01-02T23:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,1.5849914317344294,british_thermal_unit / foot ** 2 / hour
48,2023-01-03T00:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
49,2023-01-03T01:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
50,2023-01-03T02:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
51,2023-01-03T03:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
52,2023-01-03T04:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
53,2023-01-03T05:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
54,2023-01-03T06:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
55,2023-01-03T07:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
56,2023-01-03T08:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
57,2023-01-03T09:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
58,2023-01-03T10:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
59,2023-01-03T11:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
60,2023-01-03T12:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
61,2023-01-03T13:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
62,2023-01-03T14:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,3.8039794361626305,british_thermal_unit / foot ** 2 / hour
63,2023-01-03T15:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,10.460943449447234,british_thermal_unit / foot ** 2 / hour
64,2023-01-03T16:00,iso8601,4.46967583749109,british_thermal_unit / foot ** 2 / hour,46.598748092992224,british_thermal_unit / foot ** 2 / hour
65,2023-01-03T17:00,iso8601,4.94517326701142,british_thermal_unit / foot ** 2 / hour,47.23274466568599,british_thermal_unit / foot ** 2 / hour
66,2023-01-03T18:00,iso8601,2.884684405756661,british_thermal_unit / foot ** 2 / hour,30.431835489301044,british_thermal_unit / foot ** 2 / hour
67,2023-01-03T19:00,iso8601,1.2045934881181664,british_thermal_unit / foot ** 2 / hour,31.382830348341702,british_thermal_unit / foot ** 2 / hour
68,2023-01-03T20:00,iso8601,6.1180669264948975,british_thermal_unit / foot ** 2 / hour,38.356792647973194,british_thermal_unit / foot ** 2 / hour
69,2023-01-03T21:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,22.506878330628897,british_thermal_unit / foot ** 2 / hour
70,2023-01-03T22:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,10.143945163100348,british_thermal_unit / foot ** 2 / hour
71,2023-01-03T23:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.9509948590406576,british_thermal_unit / foot ** 2 / hour
72,2023-01-04T00:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
73,2023-01-04T01:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
74,2023-01-04T02:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
75,2023-01-04T03:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
76,2023-01-04T04:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
77,2023-01-04T05:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
78,2023-01-04T06:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
79,2023-01-04T07:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
80,2023-01-04T08:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
81,2023-01-04T09:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
82,2023-01-04T10:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
83,2023-01-04T11:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
84,2023-01-04T12:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
85,2023-01-04T13:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
86,2023-01-04T14:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,1.2679931453875435,british_thermal_unit / foot ** 2 / hour
87,2023-01-04T15:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,7.607958872325261,british_thermal_unit / foot ** 2 / hour
88,2023-01-04T16:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,25.042864621403982,british_thermal_unit / foot ** 2 / hour
89,2023-01-04T17:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,21.872881757935126,british_thermal_unit / foot ** 2 / hour
90,2023-01-04T18:00,iso8601,45.013756661257794,british_thermal_unit / foot ** 2 / hour,43.74576351587025,british_thermal_unit / foot ** 2 / hour
91,2023-01-04T19:00,iso8601,260.03369429035047,british_thermal_unit / foot ** 2 / hour,27.89584919852596,british_thermal_unit / foot ** 2 / hour
92,2023-01-04T20:00,iso8601,262.25268229477865,british_thermal_unit / foot ** 2 / hour,22.82387661697578,british_thermal_unit / foot ** 2 / hour
93,2023-01-04T21:00,iso8601,246.33936832016502,british_thermal_unit / foot ** 2 / hour,19.336895467160037,british_thermal_unit / foot ** 2 / hour
94,2023-01-04T22:00,iso8601,199.17002331174837,british_thermal_unit / foot ** 2 / hour,13.94792459926298,british_thermal_unit / foot ** 2 / hour
95,2023-01-04T23:00,iso8601,46.598748092992224,british_thermal_unit / foot ** 2 / hour,3.1699828634688587,british_thermal_unit / foot ** 2 / hour
96,2023-01-05T00:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
97,2023-01-05T01:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
98,2023-01-05T02:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
99,2023-01-05T03:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
100,2023-01-05T04:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
101,2023-01-05T05:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
102,2023-01-05T06:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
103,2023-01-05T07:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
104,2023-01-05T08:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
105,2023-01-05T09:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
106,2023-01-05T10:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
107,2023-01-05T11:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
108,2023-01-05T12:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
109,2023-01-05T13:00,iso8601,5.6108696683398795,british_thermal_unit / foot ** 2 / hour,0.31699828634688587,british_thermal_unit / foot ** 2 / hour
110,2023-01-05T14:00,iso8601,137.89425456089535,british_thermal_unit / foot ** 2 / hour,10.460943449447234,british_thermal_unit / foot ** 2 / hour
111,2023-01-05T15:00,iso8601,227.8266683975069,british_thermal_unit / foot ** 2 / hour,18.068902321772494,british_thermal_unit / foot ** 2 / hour
112,2023-01-05T16:00,iso8601,264.4716702992069,british_thermal_unit / foot ** 2 / hour,21.55588347158824,british_thermal_unit / foot ** 2 / hour
113,2023-01-05T17:00,iso8601,284.6010614822341,british_thermal_unit / foot ** 2 / hour,22.82387661697578,british_thermal_unit / foot ** 2 / hour
114,2023-01-05T18:00,iso8601,290.11683166467,british_thermal_unit / foot ** 2 / hour,23.77487147601644,british_thermal_unit / foot ** 2 / hour
115,2023-01-05T19:00,iso8601,288.08804263204985,british_thermal_unit / foot ** 2 / hour,23.14087490332267,british_thermal_unit / foot ** 2 / hour
116,2023-01-05T20:00,iso8601,276.51760518038856,british_thermal_unit / foot ** 2 / hour,21.872881757935126,british_thermal_unit / foot ** 2 / hour
117,2023-01-05T21:00,iso8601,252.61593438983334,british_thermal_unit / foot ** 2 / hour,19.336895467160037,british_thermal_unit / foot ** 2 / hour
118,2023-01-05T22:00,iso8601,202.7521039474682,british_thermal_unit / foot ** 2 / hour,13.94792459926298,british_thermal_unit / foot ** 2 / hour
119,2023-01-05T23:00,iso8601,49.22983386967138,british_thermal_unit / foot ** 2 / hour,3.1699828634688587,british_thermal_unit / foot ** 2 / hour
120,2023-01-06T00:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
121,2023-01-06T01:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
122,2023-01-06T02:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
123,2023-01-06T03:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
124,2023-01-06T04:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
125,2023-01-06T05:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
126,2023-01-06T06:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
127,2023-01-06T07:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
128,2023-01-06T08:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
129,2023-01-06T09:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
130,2023-01-06T10:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
131,2023-01-06T11:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
132,2023-01-06T12:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
133,2023-01-06T13:00,iso8601,5.642569496974569,british_thermal_unit / foot ** 2 / hour,0.31699828634688587,british_thermal_unit / foot ** 2 / hour
134,2023-01-06T14:00,iso8601,150.73268515794422,british_thermal_unit / foot ** 2 / hour,10.143945163100348,british_thermal_unit / foot ** 2 / hour
135,2023-01-06T15:00,iso8601,236.0686238425259,british_thermal_unit / foot ** 2 / hour,18.068902321772494,british_thermal_unit / foot ** 2 / hour
136,2023-01-06T16:00,iso8601,269.8923409957386,british_thermal_unit / foot ** 2 / hour,21.238885185241354,british_thermal_unit / foot ** 2 / hour
137,2023-01-06T17:00,iso8601,285.77395514171764,british_thermal_unit / foot ** 2 / hour,23.14087490332267,british_thermal_unit / foot ** 2 / hour
138,2023-01-06T18:00,iso8601,290.4021301223822,british_thermal_unit / foot ** 2 / hour,24.091869762363327,british_thermal_unit / foot ** 2 / hour
139,2023-01-06T19:00,iso8601,287.5808453738949,british_thermal_unit / foot ** 2 / hour,23.77487147601644,british_thermal_unit / foot ** 2 / hour
140,2023-01-06T20:00,iso8601,276.4542055231192,british_thermal_unit / foot ** 2 / hour,22.18988004428201,british_thermal_unit / foot ** 2 / hour
141,2023-01-06T21:00,iso8601,247.25866335057097,british_thermal_unit / foot ** 2 / hour,20.604888612547583,british_thermal_unit / foot ** 2 / hour
142,2023-01-06T22:00,iso8601,125.8483196797137,british_thermal_unit / foot ** 2 / hour,23.14087490332267,british_thermal_unit / foot ** 2 / hour
143,2023-01-06T23:00,iso8601,6.466765041476472,british_thermal_unit / foot ** 2 / hour,5.38897086789706,british_thermal_unit / foot ** 2 / hour
144,2023-01-07T00:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
145,2023-01-07T01:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
146,2023-01-07T02:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
147,2023-01-07T03:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
148,2023-01-07T04:00,iso8601,0.0,british_thermal_unit / foot ** 2 / hour,0.0,british_thermal_unit / foot ** 2 / hour
